,line,datetime,dim,m_dist,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89
120,1,2020-04-22 21:21:22.492824,2,2.45072,2,122,121,118,0,0,0,0,0,0,1196,1379,0,0,0,0,0,0
101,1,2020-04-22 21:20:32.589221,2,2.47374,2,122,121,118,0,0,0,0,0,0,1219,1363,0,0,0,0,0,0
62,1,2020-04-22 21:19:41.871451,2,3.27689,5,118,120,117,0,0,0,0,0,0,1575,1228,0,0,0,0,0,0
46,1,2020-04-22 21:18:51.550436,2,3.26636,5,118,120,117,0,0,0,0,0,0,1567,1235,0,0,0,0,0,0
31,1,2020-04-22 21:18:01.162056,2,3.32789,5,118,120,117,0,0,0,0,0,0,1586,1234,0,0,0,0,0,0
18,1,2020-04-22 21:17:11.758260,2,158.51002,5,118,120,117,0,0,0,0,0,0,1562,46568,0,0,0,0,0,0
7,1,2020-04-22 21:16:22.502223,2,3.17378,5,118,120,117,0,0,0,0,0,0,1538,1237,0,0,0,0,0,0
22,1,2020-04-22 21:54:42.355984,1,2.26725,3,121,118,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0
31,1,2020-04-22 21:54:42.355984,2,3.20712,3,121,118,120,0,0,0,0,0,0,181,2041,0,0,0,0,0,0
11,1,2020-04-22 21:53:53.249751,1,2.10681,3,121,118,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0
20,1,2020-04-22 21:53:53.249751,2,3.18807,3,121,118,120,0,0,0,0,0,0,241,2038,0,0,0,0,0,0
1,1,2020-04-22 21:53:01.114503,1,2.10414,3,121,118,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0
9,1,2020-04-22 21:53:01.114503,2,3.22382,3,121,118,120,0,0,0,0,0,0,242,2050,0,0,0,0,0,0
38,1,2020-04-22 21:57:13.374063,2,135.58559,3,121,118,120,0,0,0,0,0,0,510,40438,0,0,0,0,0,0
28,1,2020-04-22 21:56:22.298564,2,135.65508,3,121,118,120,0,0,0,0,0,0,533,40447,0,0,0,0,0,0
20,1,2020-04-22 21:55:33.707233,2,135.6418,3,121,118,120,0,0,0,0,0,0,523,40448,0,0,0,0,0,0
40,1,2020-04-22 21:57:13.374063,3,545.40048,2,121,118,120,117,0,0,0,0,0,510,40438,105165,0,0,0,0,0
30,1,2020-04-22 21:56:22.298564,3,737.59226,2,121,118,120,117,0,0,0,0,0,533,40447,152650,0,0,0,0,0
41,44,2020-04-22 22:13:01.545069,1,2.18542,4,5496,5468,0,0,0,0,0,0,0,1316,0,0,0,0,0,0,0
31,44,2020-04-22 22:12:13.236386,1,2.3568,4,5496,5468,0,0,0,0,0,0,0,1350,0,0,0,0,0,0,0
21,44,2020-04-22 22:11:21.641413,1,2.04429,4,5496,5468,0,0,0,0,0,0,0,1288,0,0,0,0,0,0,0
11,44,2020-04-22 22:10:31.098418,1,2.01908,4,5496,5468,0,0,0,0,0,0,0,1283,0,0,0,0,0,0,0
